179.07 335.73 258.42 539.37 418.87 443.21 317.6 314.83 366.51 441.43 279.06 163.57 499.61 497.97 415.52 360.34 0 422.2 168.76 493.67 65.64 311.35 306.7 312.82 311.85 133.51 331.31 405.41 301.87 73.63 219.43 377.61 374.82 249.59 270.37 348.28 262.57 358.24 289.16 255.31 174.17 125.59 139.25 290.44
577.23 336.19 614.96 262.81 463.54 487.87 93.98 359.5 436.77 486.1 282.52 449.58 462.69 433.41 407.14 89.96 422.42 0 587.76 514.76 462.93 381.61 270.9 313.28 167.91 406.35 275.85 450.07 358.11 388.27 585.49 422.27 137.2 180.83 292.46 302.13 350.24 104.95 258.82 312.7 565.47 544.6 287.68 145.01
124.88 447.7 86.94 710.36 589.86 614.2 488.59 485.82 344.65 612.42 404.23 197.69 670.6 668.96 586.51 531.33 174.05 593.19 0 664.66 147.7 346.79 428.67 424.79 482.84 304.5 453.05 576.4 331.99 244.62 100.18 548.6 545.81 420.58 441.36 470.02 296.7 529.23 427.4 308.97 278.06 90.2 310.24 461.43
648.03 646.65 748.22 364.99 80.7 58.36 445.81 182.64 735.99 47.5 589.98 541.78 56.27 119.65 56.72 478.31 493.22 538.43 658.56 0 533.73 680.83 617.62 623.74 406.2 343.75 642.23 92.22 657.33 403.73 686.07 105.87 646.8 358.11 243.67 659.2 596.01 630.22 600.09 566.23 413.61 615.4 411.24 401.84
115.35 387.2 237.47 576.12 455.62 479.96 354.35 351.58 397.58 478.18 330.53 194.64 536.36 534.72 452.27 397.09 65.69 458.95 147.81 530.42 0 342.42 358.17 364.29 348.6 149.7 382.78 442.16 332.94 110.38 234.98 414.36 411.57 286.34 307.12 399.75 293.64 394.99 340.63 306.78 136.3 77.86 176 327.19
413.07 78.86 277.22 645.23 605.45 629.78 397.58 501.41 55.16 628.01 102.19 154.52 686.19 684.55 602.1 398.14 367.92 381.62 353.72 680.25 348.81 0 126.63 122.75 476.09 389.94 151.01 591.99 23.17 371.86 247.74 564.19 274.21 436.3 456.95 167.98 80.59 292.71 125.36 128.56 549.06 376.1 284.55 448.62
475.55 51.9 359.96 533.99 544.25 568.58 286.34 440.21 181.77 566.81 27.52 194.58 624.99 623.35 540.9 286.9 306.72 270.38 436.46 619.05 361.25 126.61 0 28.99 364.85 328.74 22.63 530.78 103.11 310.65 330.49 502.99 162.97 375.1 395.75 39.6 95.24 181.47 17.33 74.15 487.86 432.31 223.35 337.38
480.28 23.61 355.49 563.34 548.98 573.31 315.69 444.94 177.3 571.54 34.31 189.89 629.72 628.08 545.63 316.24 311.45 299.72 431.99 623.78 365.98 122.14 29.06 0 394.2 333.47 35.94 535.51 98.64 315.39 326.01 507.72 192.31 379.83 400.48 39.82 90.55 210.81 43.49 72.09 492.59 437.04 228.08 366.72
468.09 432.05 568.28 235.45 324.87 349.21 70.62 220.83 532.63 347.43 378.38 362.21 271.76 242.67 268.47 79.58 313.27 167.38 478.62 323.82 353.78 477.47 366.76 409.14 0 229.35 371.71 311.41 453.98 279.12 506.12 283.61 233.07 74.66 153.79 397.99 416.44 178.63 354.68 386.66 456.33 435.45 207.47 36.7
264.56 356.92 388.76 455.16 269.64 293.97 233.39 165.6 446.25 292.2 300.25 252.05 350.38 348.74 266.29 276.13 133.75 404.45 299.1 344.44 150.26 391.09 327.89 334.01 227.64 0 352.5 256.17 367.6 62.48 324.51 228.38 357.07 165.38 121.14 369.47 306.28 340.49 310.35 276.5 199.37 255.93 121.5 206.23
500.24 69.16 384.37 551.16 568.94 593.27 303.52 464.9 206.18 591.5 51.93 218.99 649.68 629.78 565.59 304.07 331.41 287.55 460.87 643.74 385.94 151.02 23.4 36.05 382.02 353.43 0 555.48 127.52 335.35 354.9 527.68 180.14 399.79 420.44 11.82 119.65 198.64 40.6 98.34 512.56 457 248.04 354.55
561.15 559.77 661.34 421.12 51.5 75.83 358.92 95.76 649.1 46.8 503.1 454.9 121.72 177.61 35.63 391.43 406.33 451.55 571.68 92.29 446.85 593.94 530.74 536.86 319.31 256.87 555.35 0 570.45 316.85 599.18 14.69 559.92 271.23 156.78 572.32 509.13 543.34 513.2 479.35 343.08 528.51 324.35 314.95
396.38 122.73 263.13 622.3 582.52 606.85 374.65 478.48 78.85 605.08 79.26 137.84 663.26 661.62 579.17 375.21 344.99 358.69 339.63 657.32 332.13 23.69 103.7 99.82 453.16 367.01 128.08 569.05 0 348.93 233.65 541.26 251.28 413.37 434.02 145.05 57.66 269.78 102.43 105.63 526.13 359.42 261.62 425.69
228.19 339.36 328.38 504.06 329.65 353.98 282.29 225.61 428.7 352.21 282.69 196.53 410.39 408.75 326.3 325.04 73.37 386.9 238.72 404.45 113.89 373.54 310.34 316.45 276.55 61.88 334.94 316.18 350.04 0 264.13 288.39 339.51 214.28 181.15 351.91 288.72 322.93 292.8 258.94 216.43 195.55 103.95 255.13
227.16 349.2 60.11 731.97 611.47 635.81 601.12 507.43 246.15 634.03 305.73 121.37 692.21 690.57 608.12 601.68 219.74 585.16 108.42 686.27 235.13 248.29 330.17 326.29 504.45 324.77 354.55 598.01 233.49 264.89 0 570.21 477.75 442.19 462.97 371.52 207.52 496.25 328.9 222.64 365.5 192.48 265.22 483.04
533.03 531.65 633.22 347.02 55.83 80.16 330.81 67.64 620.99 78.39 474.98 426.78 133.35 189.24 49.26 363.31 378.21 423.43 543.56 105.92 418.73 565.82 502.62 508.74 291.19 228.75 527.23 14.74 542.33 288.73 571.07 0 531.8 243.11 128.66 544.2 481.01 515.22 485.09 451.23 336.61 500.39 296.23 286.83
528.17 229.34 508.12 393.93 572.8 597.13 146.28 468.76 329.93 595.36 175.67 342.74 501.63 472.55 569.45 146.83 373.36 130.32 538.7 647.6 413.87 274.76 164.05 206.43 224.79 357.29 169.01 559.34 251.27 339.21 478.64 531.54 0 230.31 424.3 195.29 243.4 41.4 151.98 205.86 516.41 495.54 238.62 197.31
403.95 402.94 504.14 299.97 284.29 308.62 101.8 180.25 492.28 306.85 346.27 298.07 305.71 332.05 280.94 120.95 249.13 179.8 414.48 359.09 289.64 437.11 373.91 380.03 72.46 165.21 398.52 270.82 413.62 214.98 441.98 243.03 240.42 0 113.21 415.49 352.3 187.94 356.38 322.52 392.19 371.31 143.33 51.04
425.36 423.97 525.55 388.94 168.38 192.71 201.03 64.34 513.31 190.94 367.31 319.1 249.11 234.46 165.02 233.54 270.54 293.66 435.89 243.18 311.05 458.15 394.95 401.06 161.42 121.07 419.56 154.91 434.66 181.06 463.39 127.12 424.12 113.34 0 436.53 373.33 407.54 377.41 343.56 278.34 392.72 188.56 157.06
516.77 64.31 400.9 567.69 585.46 609.8 320.04 481.43 222.7 608.03 68.45 235.52 666.2 646.31 582.11 320.59 347.94 304.08 477.4 660.27 402.47 167.54 39.93 40.43 398.55 369.95 12.24 572 144.05 351.87 371.42 544.2 196.66 416.32 436.96 0 136.17 215.16 57.12 114.87 529.08 473.53 264.56 371.07
358.26 113.89 314.82 613.68 522.22 546.56 366.03 418.19 136.63 544.79 62.08 99.71 602.96 601.32 518.87 366.58 263.33 350.07 291.71 597.02 294 81.47 95.08 90.98 415.35 306.71 119.46 508.76 57.98 288.63 206.41 480.96 242.65 353.08 373.72 136.43 0 261.15 82.74 33.27 430.36 321.29 201.32 393.93
511.87 247.84 526.62 367.5 556.49 580.83 99.84 452.45 348.42 579.06 194.17 361.24 455.19 426.11 553.14 100.39 357.05 103.89 522.4 631.29 397.56 293.26 182.55 224.93 178.35 340.98 187.5 543.03 269.77 322.9 497.14 515.23 48.86 185.63 290.91 213.78 261.89 0 170.47 224.36 500.11 479.23 222.31 150.87
458.76 66.15 358.94 523.45 527.45 551.79 275.8 423.42 180.75 550.02 26.49 168.6 608.19 606.55 524.1 276.35 289.93 259.84 435.44 602.25 344.46 125.58 23.28 43.24 354.31 311.94 40.66 513.99 102.09 293.86 329.46 486.19 152.42 358.31 378.95 57.63 83.06 170.92 0 56.86 471.07 415.52 206.55 326.83
370.34 95.34 362.87 582.54 491.98 516.32 334.89 387.94 184.67 514.54 46.29 111.79 572.72 571.08 488.63 335.44 254.46 318.92 303.79 566.78 308.99 129.51 73.93 72.43 385.1 276.47 98.93 478.52 106.02 258.39 221.46 450.72 211.51 322.84 343.48 115.9 33.58 230.01 56.79 0 435.6 380.05 171.08 363.69
162.78 516.66 367.37 681.36 328.05 362.87 459.59 291.29 606 361.09 460 330.08 451.22 529.25 385.63 502.34 173.73 564.2 277.71 413.33 136.04 550.84 487.64 493.75 453.85 198.99 512.25 342.57 527.34 215.62 364.88 336.06 516.81 391.58 412.37 529.22 429.08 500.23 470.1 436.24 0 158.86 281.25 432.43
57.56 461.62 189.36 662.21 541.71 566.05 440.44 437.67 457.78 564.27 404.96 254.84 622.45 620.81 538.36 483.18 125.89 545.04 90.52 616.51 77.94 402.62 432.6 438.71 434.69 256.35 457.21 528.25 393.14 196.47 192.09 500.45 497.66 372.43 393.21 474.18 353.84 481.08 415.06 381.2 158.83 0 262.09 413.28
292.95 256.75 393.14 430.93 337.58 361.91 209.15 233.54 346.09 360.14 200.09 151.88 418.31 416.67 334.22 251.9 138.13 286.74 303.48 412.38 178.65 290.93 227.73 233.84 203.41 122.06 252.34 324.11 267.43 103.98 270.45 296.31 239.35 141.14 189.07 269.31 206.11 222.77 210.19 176.33 281.19 260.31 0 181.99
444.4 405.32 544.59 263.34 326.8 351.14 52.15 222.76 505.9 349.36 351.65 338.52 324.5 295.42 270.4 71.29 289.58 144.77 454.93 401.6 330.1 450.74 340.03 382.41 35.38 205.66 344.98 313.34 427.25 255.43 482.43 285.54 206.34 50.97 155.73 371.26 392.75 151.9 327.95 362.97 432.64 411.76 183.79 0
